COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(Perc at least 1 dose mod)-alias,SUM(At least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
14038901105978491135,Maspeth,11378,49.7188210790202,60.39215495196204,16986,13984,49.7188210790202,"28,126",40.722907983675334,40.7229,-73.92045963318517,-73.9205
2850878229969502036,Manhattan Valley/Morningside Heights/Upper West Side,10025,63.923566512634,71.99680578191315,56415,50089,63.923566512634,"78,358",40.800328958394,40.8003,-73.96625543325898,-73.9663
12858335072921120838,Long Island City,11109,72.372061202914,82.6841909476271,4418,3867,72.372061202914,"5,343",40.74558119163512,40.7456,-73.95829189233923,-73.9583
10008109472310056797,Lincoln Square,10069,72.7885860039154,82.59169993799756,4440,3913,72.7885860039154,"5,376",40.77578476904258,40.7758,-73.99112607067067,-73.9911
6421052027766357067,Lincoln Square,10023,70.8950720214624,79.14146630783561,42352,37939,70.8950720214624,"53,514",40.77569919527727,40.7757,-73.98301759070974,-73.9830
13518408187751020201,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,10306,53.5348307743982,61.57307947910642,26090,22684,53.5348307743982,"42,372",40.573044245370184,40.5730,-74.13111792428568,-74.1311
12241881246569873691,Lenox Hill/Upper East Side,10075,78.550123317514,87.22924993415148,17327,15603,78.550123317514,"19,864",40.77278389700894,40.7728,-73.95475581857359,-73.9548
12041298690412720261,Lenox Hill/Upper East Side,10065,70.3457286462739,78.19325633210535,19131,17211,70.3457286462739,"24,466",40.76384107283376,40.7638,-73.96118817421443,-73.9612
6136035347793680985,Lenox Hill/Upper East Side,10021,67.6254494155078,74.12241572641479,29389,26813,67.6254494155078,"39,649",40.76546008702753,40.7655,-73.95747906346895,-73.9575
13568842172321599915,Laurelton/Rosedale,11413,33.3281227526811,40.07907098713703,13904,11562,33.3281227526811,"34,691",40.66408016462025,40.6641,-73.75057297474643,-73.7506
9614305802080270957,Kips Bay/Murray Hill/NoMad,10016,70.40759187139,80.4776183211421,38001,33246,70.40759187139,"47,219",40.74479999580176,40.7448,-73.97277641016387,-73.9728
4599956056429521911,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,10463,53.1793706165214,61.467549285707314,34597,29932,53.1793706165214,"56,285",40.87792187299295,40.8779,-73.90969806175039,-73.9097
14697998743943871037,Kew Gardens Hills/Pomonok,11367,49.9711056633557,59.20897982790264,18600,15698,49.9711056633557,"31,414",40.73083824591093,40.7308,-73.82342148229684,-73.8234
