COLLECT(Geometry)-alias,NEIGHBORHOOD_NAME-alias,Zcta Num-alias,SUM(Indicator)-alias,SUM(Perc at least 1 dose mod)-alias,SUM(At least 1 dose)-alias,SUM(N_FULLY_VACCINATED_CUMULATIVE)-alias,SUM(PERC_FULLY)-alias,SUM(POPULATION_ESTIMATE)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias
14697998743943871037,Kew Gardens Hills/Pomonok,11367,46.67858761428935,46.67858761428935,18987,15873,39.0229747301635,"40,676",40.73083824591093,40.7308,-73.82342148229684,-73.8234
1637893300889686692,Kew Gardens,11415,53.48373376488108,53.48373376488108,10094,8662,45.8961860383793,"18,873",40.70939677600189,40.7094,-73.83030279545555,-73.8303
504297603486692083,Kensington/Windsor Terrace,11218,44.95653486295188,44.95653486295188,33266,27199,36.7574337683349,"73,996",40.64731709291488,40.6473,-73.97477697120239,-73.9748
2142587574702034187,Jamaica,11433,38.87528231747738,38.87528231747738,14198,11876,32.5174568814172,"36,522",40.69927658115394,40.6993,-73.78652882796163,-73.7865
8667208470702579115,Jackson Heights/Rikers Island,11370,48.09087944229339,48.09087944229339,15282,12278,38.6376009548801,"31,777",40.785652326242925,40.7857,-73.88321121384428,-73.8832
15982059181251577592,Jackson Heights,11372,65.4733326667852,65.4733326667852,39731,31520,51.9422980961232,"60,683",40.750337666757154,40.7503,-73.88634940617133,-73.8863
2597243027712784715,Inwood/Washington Heights (North),10034,44.25232953707976,44.25232953707976,18693,15765,37.3208139491822,"42,242",40.86630310110243,40.8663,-73.92287666540476,-73.9229
5849118026665181117,Hunts Point,10474,32.12369207062987,32.12369207062987,3847,2958,24.7002550415709,"11,976",40.808288720417636,40.8083,-73.88884177256035,-73.8888
6913227023405428439,Hudson Square/Meatpacking District/West Village,10014,71.01121504585474,71.01121504585474,21542,18737,61.7647913988572,"30,336",40.73460135833562,40.7346,-74.00803505661187,-74.0080
9356805364938853039,Hudson Square/Little Italy/SoHo/TriBeCa,10013,69.58636867322893,69.58636867322893,20054,17148,59.5026952233234,"28,819",40.71963180060329,40.7196,-74.00400736034565,-74.0040
7533204450420038978,Hollis/Holliswood,11423,50.2113071574453,50.2113071574453,15635,13423,43.107539237249,"31,138",40.716506651570015,40.7165,-73.77105954138645,-73.7711
2674089007412190215,Hillcrest/Jamaica Estates/Jamaica Hills,11432,58.06628217800047,58.06628217800047,35278,30061,49.4792932862654,"60,755",40.71599765832633,40.7160,-73.79330890321143,-73.7933
5943557986778385093,Hell's Kitchen/Midtown Manhattan,10036,83.58369941663045,83.58369941663045,22770,19172,70.3762268430232,"27,242",40.75925598904226,40.7593,-73.99269254598528,-73.9927
9848049560676505857,Hell's Kitchen/Midtown Manhattan,10019,75.14290784029154,75.14290784029154,32704,28007,64.3507650404551,"43,522",40.76652116514743,40.7665,-73.99040795806198,-73.9904
1344053829658389205,Hell's Kitchen/Midtown Manhattan,10018,67.90185145562393,67.90185145562393,8006,6620,56.1466720754723,"11,791",40.75724354275797,40.7572,-73.99762126573604,-73.9976
